course_name,course_code,description,learning_objectives,level,faculty,url
Organic Chemistry 1,4051ORGC1,"In het vak Organische Chemie leer je de fundamentele begrippen van de synthetische organische chemie en de bijbehorende reacties met hun mechanisme. Het vak bevat grofweg drie delen. Elk volgende deel behoeft kennis uit alle voorgaande delen en wordt cumulatief getoetst.

Deel 1: Kennis over de functionele groepen, de structuur van moleculen d.m.v. orbitalen en hybridisatie, de begrippen delokalisatie, conjugatie en aromaticiteit, zuren en basen en hun kwalitatieve sterkte, en inductieve en sterische effecten. Reacties en hun mechanismen van aldehyden, ketonen en carbonzuurderivaten. Kinetische en thermodynamische aspecten van de reacties.

Deel 2: Kennis over stereochemie, chiraliteit, enantiomeren, diastereoisomeren en racemische mengsels. Conformationele analyse, ring structuren, 1,3-diaxiale interacties, en het gebruik van Newman projecties. Reacties en hun mechanismen van substituties en eliminaties op alifatische verbindingen. De rol van de vertrekkende groep, de structuur van het elektrofiel en het type nucleofiel. De rol van naburige elektronenzuigende en stuwende substituenten.

Deel 3: Kennis over de begrippen stereoselectiviteit en stereospecificiteit. Reacties en hun mechanismen van electrofiele en nucleofiele additie aan alkenen, electrofiele en nucleofiele aromatische substitutie en de chemie van enolen en enolaten.","1. Parate kennis van functionele groepen, de orbitalen en hun reactiviteit, fundamentele begrippen zoals conjugatie, aromaticiteit, zuurgraad, conformatie en configuratie.

2. Inzicht in en het construeren van reactiemechanismen van de belangrijkste organisch chemische reacties die de functionele groepen kunnen ondergaan in termen van elektronenbeweging en orbitalen.

3. Kunnen voorspellen van reactieproducten aan de hand van de gegeven reactiecondities

4. Het identificeren van structurele elementen verantwoordelijk voor de reactiviteit en selectiviteit van de reactie

5. Kunnen verklaren van trends, overeenkomsten en verschillen in stabiliteit, reactiviteit en selectiviteit door het toepassen van fundamentele principes uit de organische chemie",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16947
Basic Laboratory Skills Course,4051PRBVA,"Praktische vaardigheden op het gebied van synthese (organische, anorganische en biochemie) en technologie (chemische, fysische en biotechnologie). Veiligheid. Verslaglegging. ICT (Excel, Python). Dataverwerking. Foutenbeschouwing en voortplanting.","Na succesvolle afronding van dit vak ben je in staat tot:

1: Het opstellen van een gedetailleerde planning voor een experiment op basis van een experimentele procedure, inclusief een veiligheidsanalyse en het kiezen van de juiste synthese- of meetopstelling;
2: Het uitvoeren van enkele veelgebruikte experimentele technieken binnen de (an)organische synthese, analytische chemie, biochemie, biotechnologie en chemische technologie;
3: Het toepassen van de noodzakelijke maatregelen om experimenten uit te voeren op een wijze die veilig is voor jezelf, omstanders en het milieu;
4: Het ordenen van observaties en meetresultaten in een labjournaal, tabel of grafiek;
5: Het berekenen van de numerieke meetonzekerheid behorende bij de uitkomst van een experiment;
6: Het analyseren van de resultaten van een experiment in een beknopt meetrapport.

Na het afronden van PBV, ben je in staat om met praktisch werk binnen de onderzoeksgroepen (Leren Onderzoeken, zie 4051LEON1) te starten.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16948
Quantum Chemistry and Physics,4051QCHFY,"In het eerste gedeelte van dit vak worden volgende onderwerpen van de klassieke fysica － zoals behandeld op de middelbare school － herhaald en uitgebreid:

Klassiek mechanica volgens Newton

Oscillaties en rotaties

Lopende en staande golven

Electrostatica

Hierna volgt een introductie in de kwantummechanica met specifieke aandacht voor kwantumeffecten die belangrijk zijn in atomen en moleculen, waarbij volgende onderwerpen worden behandeld:

Beperkingen van de klassieke mechanica

Basis begrippen en concepten in de kwantummechanica

Oplossingen van de Schrödingervergelijking

Deeltje in een doosje

Kwantummechanische beschrijving van harmonische oscillator en rigide rotator, alsmede toepassing daarvan op vibraties en rotaties van moleculen

Electronenstructuur van het waterstofatoom

Pauli principe, de Born-Oppenheimer benadering en de Hartree-Fock methode als uitgangspunt voor kwantumchemische berekeningen

Electronenstructuur van meer-electronen atomen en twee-atomige moleculen","De student kan

... verband leggen tussen wiskundige vergelijkingen uit de klassieke fysica en kwantummechanica en de betekenis ervan. Daardoor kan de student ook conclusies uit de formule trekken.

... problemen uit de klassieke fysica en kwantumfysica oplossen door de juiste formule voor een toepassing te kiezen, formules te verbinden en deze toe te passen.

... verschillende eenheden in elkaar omrekenen en in formules correct gebruiken.

... situaties noemen die van belang zijn in de scheikunde en waarin een kwantummechanische beschrijving nodig is.

... de Schrödingervergelijking voor eenvoudige modelsystemen in de kwantummechanica oplossen en de betekenis van de resultaten uitleggen, waarbij operatoren, eigenwaarden en golffuncties centraal staan.

... kwantummechanische modelsystemen toepassen om zo het fenomeen van kwantummechanisch tunnelen te beschrijven en rotatie en vibratiespectra van moleculen te analyseren.

... het Pauli principe, de Born-Oppenheimer benadering en de Hartree-Fock methode beschrijven en de relevantie voor kwantumchemische berekeningen uitleggen.

... energietoestanden van elektronen in atomen en molekulen in verband brengen met orbitalen en hun vorm.

... een chemische binding in een twee-atomig molekuul op basis van de LCAO-MO theorie uitleggen.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/16949
Structure Elucidation,4051STRUA,"1. Inleiding tot de structuuranalyse, 13C-NMR, IR, UV-Vis, massaspectrometrie
2. Proton NMR
3a. Structuuropheldering: Overzicht van spectroscopische methoden
3b. Infrarood spectroscopie en NMR van andere NMR-actieve atoomkernen.
4. De ruimtelijke bouw van moleculen en spectroscopie.
5. Tweedimensionale NMR (COSY/HSQC) voor structuuranalyse.
6. Tweedimensionale NMR (NOESY/HMBC) voor structuuranalyse.
7. Dynamische effecten en NMR theorie.","Leerdoel 1:

Algemeen begrip van de fysische basis van spectroscopie (UV-Vis, IR, NMR) en massaspectrometrie en het interpreteren van eenvoudige puls-acquisitie of continue golf technieken.

Leerdoel 2:

Van een gegeven chemische structuur de moleculaire functionaliteiten; groepen dan wel atomen, toewijzen aan de 1H-NMR, 13C-NMR en IR-spectra, eventueel gebruikmakend van 2D-NMR (COSY/HSQC/HMBC/NOESY) technieken.

Leerdoel 3:

De structuur ophelderen van een organisch molecuul aan de hand van een gegeven set aan spectra.

Leerdoel 4:

Inzicht in hoe isomeren (zoals diastereo-isomeren, regio-isomeren, verschillende stoelconformaties en verschillende ringvormen) te onderscheiden zijn en aldan niet aan te wijzen zijn met behulp van de koppelingsconstanten (zoals de Karplus-relatie), NOE-diff-, NOESY- en/of HMBC-NMR, of hoe deze technieken ingezet kunnen worden in het onomstotelijk bewijzen/toewijzen van een voorgestelde structuur.

Leerdoel 5:

Aan de hand van een gegeven structuur of spectrum kunnen aanwijzen 1) welke atomen of groepen chemische gelijkheid bezitten 2) magnetische gelijkheid bezitten 3) dynamische effecten een rol spelen

Leerdoel 6:

Het effect van (andere) spin-1/2 kernen (1H, 13C, 19F, 29Si, 31P) herkennen, uitrekenen en beschrijven op de 1H- en 13C-NMR spectra, uitleg geven over ontkoppelingstechnieken en daar gebruik van maken in het toewijzen/ophelderen van structuren.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/23460
Biochemistry,4052BIOC6,"Aminozuren, peptides, eiwitten, (primaire quaternaire structuur), enzymen, enzymkinetiek, enzymregulatie, lipiden, membranen, membraaneiwitten, spiereiwitten, algemene principes van het metabolisme en belangrijke metabole routes. DNA en RNA structuur, DNA replicatie, DNA transcriptie, RNA splicing, translatie","Deel I

1.Kennen:
Structuur en eigenschappen van de 20 aminozuren
Eiwitstructuur: secundaire en tertiaire structuurelementen zoals alphahelix en betasheet
De globale structuur van enkele vezeleiwitten en hemoglobine

2. Kunnen:
Ligandbinding en Enzymkatalyse: Kd kunnen berekenen, Michaelis-Menten vergelijking kennen en kunnen toepassen, effect van remmers op MM kennen,

3. Begrip van (de werking van) membraaneiwitten, transmembraandomeinen, kaliumkanaal, membraanfusie en mechanisme van chymotrypsine

4. Herkennen: Structuur en eigenschappen:
Suikers: mono, di en polysaccharides (zetmeel, glycogen en cellulose)
Lipiden: triacylglycerol, glycerophospholipides en sphingolipides

5. Begrip van metabolisme (open boek)
Dmv werkcolleges wordt inzicht verkregen in de werking van belangrijke metabole routes, zoals de glycolyse, gluconeogenese, citroenzuurcyclus, oxidatieve phosphorilatie, pentose-fosfaat-route, photosynthese.

Deel II:

6. Kennen:
Structuur en eigenschappen van bouwstenen van DNA en RNA (nucleotiden)
DNA en RNA secundaire en tertiaire structuurelementen, zoals de dubbele helix.
Thermodynamische en chemische stabiliteit van DNA en RNA.
Structuur van chromosomen en ribosomen

7. Weten hoe de volgende processen verlopen:
DNA replicatie en herstel. DNA sequencing
Transcriptie in prokaryoten en eukaryoten, en reverse transcriptie
RNA processing: splicing van mRNA, ribosomale RNAs, tRNA en microRNAs
Translatie van mRNA in eukaryoten en prokaryoten
Translatie-remming door antibiotica en microRNAs",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17173
Biomolecular Chemistry,4052BMOCH,"In deze cursus zullen een aantal belangrijke biologische moleculen vanuit een (organisch) chemisch perspectief besproken worden. Zo zal de biosynthese van aminozuren, suikers, nucleinezuren en lipides en hun rol in de biosynthese en afbraak van complexe biopolymeren aan de orde komen. Ook zullen een aantal complexe biologische processen, zoals fosforyleringspaden en post-translationele modificaties aan de orde komen. Bij ieder onderwerp zal steeds eerst het biologische proces in een breed kader geschetst worden. Vervolgens wordt ingezoomd op een aantal specifieke chemische processen en wordt het mechanisme hierachter behandeld.","1) Kennis van de biosynthese en afbraak routes van natuurproducten (suikers, aminozuren, nucleoine zuren en lipiden).
2) Kennis en gebruik van co-factoren.
3) Kennis en gebruik van active site residuen in enzymen.
4) Doorgronden van biosynthese logica (waarom volgt de natuur een bepaalde syntheseroute?).
5) De werking kunnen doorgronden van mechanism-based inhibitors gebaseerd op de mode-of-action van de doel-enzymen.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17184
Chemical Biotechnology,4052CHBIO,"Introduction on industrial and environmental biotechnology; use of enzymes, pure cultures, mixed cultures; importance of biomass and sustainability

Nutrients needed for growth of microorganisms

Stoichiometry of microbial conversions according to mass balances

Hyperbolic kinetics for substrate uptake

Herbert-Pirt distribution of substrate between growth, product formation and maintenance; relations between cell mass-specific rates (mu and q)

Black-box model for aerobic and anaerobic product formation

Determination of the black-box model parameters from batch and chemostat experiments

The fermentor, and determination of relevant transport rates

Design of fermentation in batch and chemostat

Energy conversion pathways

Deriving the product pathway reaction

Deriving the biomass reaction

Microbial competition; application in mixed cultures

Designing enzymatic conversions","The student will be able to:

quantitatively analyze and evaluate the most important requirements for microbial growth and product formation.

apply simple biokinetic, stoichiometric, and mass/heat transport relationships in calculations with ideal reactors.

derive process reactions from data on growth reaction, product pathway reaction, and energy conversion pathways.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17188
Chemistry and Physics of Solid Materials,4052CHFVS,"In dit vak zal ingegaan worden op de fundamentele chemische en fysische eigenschappen van vaste stoffen en materialen.

We zullen beginnen met hoe vaste stoffen opgebouwd worden door de bindingen tussen atomen te bespreken. Vandaaruit gaan we verder met kristalstructuren, Miller indices, de reciproke ruimte en Brillouin zones. Gaandeweg gaan we steeds meer naar de eigenschappen van materialen kijken die voortkomen uit hun opbouw.

De volgende onderwerpen zullen behandeld worden:

Theorie van vaste stoffen, inclusief verbindingen in metalen, bandenstructuur, en elektronische structuur

Kristalstructuren, inclusief röntgendiffractie en Miller indices

Transporteigenschappen van vaste stoffen, inclusief metalen, insulatoren en halfgeleiders

Optische eigenschappen van vaste stoffen

Diffusie in vaste stoffen, inclusief thermodynamica en kinetiek

Mechanische, thermische en magnetische eigenschappen van vaste stoffen","De student:

- Heeft op basis van atomen een idee hoe een materiaal is opgebouwd, qua bindingen en structuur.
- Heeft inzicht waarom er elektronische banden zijn in materialen.
- Kan aangeven hoe diffusie van ionen in vaste stoffen wordt beïnvloed.
- Kan bespreken hoe thermische, mechanische en magnetische eigenschappen afhangen van de materiaalopbouw.
- Kan de factoren bespreken welke van invloed zijn op elektrische en optische eigenschappen van halfgeleiders en metalen.
- Kan op basis van bovengenoemde aspecten een selectie van materialen maken welke geschikt zijn voor een bepaalde toepassing",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17180
Chemical Reactor Engineering,4052CHREK,"- Design equations for ideal reactors
- Conversion and selectivity in ideal reactors
- Reactors in series and recycle reactor
- Relation among kinetics, reaction networks and reactor performance
- Heat effects: Adiabatic reactor operation
- Non-ideal reactors and residence time distribution
- Basics of catalytic reactions","The student is able to:

- Apply mass and energy balances to chemical reactors
- Have a notion of the characteristics of basic reactor types
- Predict/calculate the conversion and selectivity
- Design en select a chemical reactor
- Predict optimal reaction conditions
- Extract the kinetics of the reactions from experiments
- Use and apply numerical techniques, next to back of the envelope calculations",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17196
"Energy, Recycling and Safety",4052ENRV6,"The energy, recycling and safety course focuses on the responsible, safe and sustainable use of energy and raw materials.

Topics to be discussed are:

Energy en recycling:
- Relationship between availability of energy and prosperity / well-being
- World primary energy consumption, fossil energy
- Population growth; carrying capacity of the earth
- Earth energy balance, greenhouse effect, climate change
- Exergy analysis, Efficient use of energy
- The ""Energy transition"". Learning curves in renewable energy technologies (PV, Wind etc), energy storage
- Use of critical raw materials

Safety:
For the safety students work in a team (5-6 students per team).
- Introduction to definitions of risk and safety
- Basic Risk Management and risk assessment principles
- Process safety, safety in the process industry: what is specific to it, what are new trends?
- Examples of major accidents and lessons learned, occupational safety
- Basic principles pertaining to responsibility
- Ethics in safety and responsible decision-making
- Safe (and sustainable) by design principles

Technical Writing:
Writing a report: the requirements for an academic report, identifying and addressing the target audiences, and collaborative writing in teams.","1. Knowledge
a. The student is familiar with the material covered in the themes of energy, recycling and safety and can answer questions about this
b. The student is familiar with the way in which a report/article/publication must be set up.

2. Insight and understanding
a. The student is able to propose solutions for current issues
b. The student is able to develop new ideas
c. The student is able to model certain aspects.

3. Apply the substance
a. The student is able to apply the subject matter of the course to issues from current practice.
b. The student is able to make the correct assumptions for modeling the practical situation.
c. The student is able to work out a topic on an academic level in a team and to present this in a report that is well-written and clear, making it accessible to both experts and non-experts.",Bachelor,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17174
