course_name,course_code,description,learning_objectives,level,faculty,url
Resource Engineering,ENVM1200-23,"The Resources and Waste Engineering (RWE) track will start with only one module A. This module A on Resource Engineering is therefore compulsory for all students following the RWE track.

The module builds further on the topics addressed in the RWE stepping stone and gives students an introduction to the flows of resources and wastes, as well as to the types and properties of waste that result from human activity. Students will learn about using methodologies to quantify changes in resource demand and evaluate these in terms of their environmental implications and resource availability (critical materials). The module will further explore the issues and variables that play a role in using secondary resources more efficiently, and in closed loops. In this context, the limitations for circularity and the role of bio-based solutions (renewable and bio-based materials) in achieving circularity will also be addressed.

Module A offers an engineering perspective to address key aspects related to circular production and construction processes and introduces a range of engineering tools to assess environmental performance.

Goal: The objective of the Resource Engineering module is to gain in-depth knowledge of managing material flows and waste streams in closed loops and learn how circular and bio-based economy approaches can be implemented in production and construction processes, thus contributing to increasing the use of renewable and recyclable resources while minimizing the consumption of energy and raw materials. The module content is organized in the following two themes:

(1) Flows of materials, resources and residual wastes

(Link to learning objectives of the module: A-LO1, A-LO2, A-LO3, A-LO7 and A-LO8)

Central topic of this theme is the analysis and management of material flows and waste based on circularity and bio-economy knowledge, with the aim of reducing environmental impacts.

(2) Circular construction processes and sustainable materials

(Link to learning objectives of the module: A-LO3, A-LO4, A-LO5, A-LO6 and A-LO7)

Central topic of the theme is the application of circularity and bio-economy concepts on construction processes and materials and their evaluation based on tools for the quantification of the environmental performance at system and material levels.","Upon successful completion of this module, the students are able to:

A-LO1: Explain principles, methodologies and concepts related to waste management, circularity and construction materials. (ILO: a)

A-LO2: Evaluate waste management options, considering the possibilities and limitations of resource circularity. (ILO: a, c, d, l)

A-LO3: Assess technologies for separation, sorting of and resource recovery from solid waste by implementing concepts that enable material circularity. (ILO: a)

A-LO4: Evaluate the state-of-the-art circular and bio-based economy approaches and methodologies for production and construction processes. (ILO: c, i, l)

A-LO5: Evaluate the environmental impacts and performance of production and construction activities by applying both quantitative and qualitative methodologies. (ILO: b, d, g)

A-LO6: Develop engineering solutions for implementing circularity and bio-based concepts in production and construction processes based on environmental, economic, societal and legislative grounds. (ILO: c, d, h, l)

A-LO7: Demonstrate the capacity to effectively communicate (both written and oral) and share results and opinions with peers, engineers, and academics. (ILO: i)

A-LO8: Provide constructive feedback, managing conflicts in diverse teams, and tackle together challenges in implementing circularity and bio-based economy. (ILO: j, k).",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18891
Waste Processing Technologies,ENVM1300,"Module B1 focuses on routes and technologies that produce high-quality raw materials from different solid waste sources with high economic and societal impacts and a degree of urgency. Examples are household waste, WEEE, plastics, metals, industrial wastes, incineration residues, and tailings from mines. Routes are designed to uphold and further develop the circular economy's generic principles and concepts as taught in the stepping stone and Module A: i.e., effective solutions for recovery of materials from End-of-Life constructions, design out harmful residues and emissions to water, air, and soil, and prevent the depletion of non-renewable resources.

This module will further explore the issues and variables that play a role in preparing and using secondary resources more efficiently, safeguarding the environment, and in closed loops. In this context, the limitations of circularity will also be addressed.

The student will be challenged to apply the knowledge and skills provided by the expert teaching teams in a final project of design and analysis (B1-3), in compliance with regulations and discussing ethical aspects. This module also addresses the development of soft skills such as presentation techniques, professional reporting, team working, and efficient communication with internal and external experts.

Goal: Gain knowledge and skills to understand materials and waste flows and to develop technologies for recycling, resource recovery, waste separation, characterisation, and disposal in the context of the circular economy.

The module content is organised in the following three themes:

(1) Resources recovery from End-of-Life constructions

Link to learning objectives of the module:

B1: LO1, LO2, LO3, LO5, LO8, and LO10.

With a focus on the environment and the economy, this theme offers an engineering perspective to address critical aspects related to circular production and construction processes, advanced technologies for recycling, and recovery of resources from construction and demolition waste in a circular economy. The following topics will be addressed:

Regulations

Processes and procedures

Material labels

Waste flows

Dismantling strategy

Demolition techniques

Collection strategies

Primary and secondary raw materials

Innovative technological solutions that foster circularity

Routes to market

Environmental aspects

(2) Waste collection and separation techniques

Link to learning objectives of the module:

B1: LO3, LO4, LO5, LO6, LO7 and LO8.

Knowledge of solid waste separation principles and techniques is key to efficient recycling and improving the sustainability of material resources.

This theme provides detailed knowledge about the flows of resources and wastes resulting from human activities. This theme will further explore the issues and variables that play a role in using secondary resources more efficiently and in closed loops. In this context, the practical limitations of circularity will also be addressed.

The theme concentrates on the different steps and processes comprised in the solid waste management chain, from waste collection to treatment, recycling, and disposal. Taking into account the issues of sustainability and circularity, the theme provides knowledge on the processes costs, the quality, and the value of the secondary materials resulting from the different processes/treatments discussed. The following topics will be addressed:

Collection methods

Physical waste properties

Particle segregation and agglomeration

Sampling theory

Pre-treatments

Pre-processing methods

Performance-based modelling

Separation principles

Separation technologies

Ore

Tailings

Household waste

Waste incineration and Rankin cycle

Optimizing separation lines for value or recovery

Sensor feeding techniques

Sensor principles

Sensor applications

Detection-limited sensor data

(3) Recovery and quality of raw materials from waste

Link to learning objectives of the module:

B1: LO2, LO9, LO10 and LO12.

A challenging design and analysis exercise in student groups, spanning the route from waste source to extraction and further purification and/or refinement to high-quality raw materials.

Specific knowledge about mining operations, minerals processing, metallurgical refinement techniques, and final solutions for harmful residues (e.g., landfilling techniques) can be provided in a series of starting lectures or workshops, depending on the specified design topics. The following topics will be addressed:

Waste sources

Volumes and capacity

Conditions and limitations

Design of separation and treatment strategy and technologies

Quality of raw materials

Purification

Refinement

Treatments

Residues

Emissions

Energy consumption

Ethics

Ecological and societal impacts.

Quantification and discussion of environmental impacts in connection to regulations on residues and emissions are part of the evaluation of the technical design.

Moreover, students are challenged to identify and discuss possible ethical implications of their design in a dedicated workshop organised in collaboration with the Faculty of Technology, Policy, and Management.","On completion of this module, the students are able to:

B1-LO1: Recognise logistical procedures and key technologies that safeguard the recovery and quality of recyclable materials and reusable objects. (ILO: d, i)

B1-LO2: To take account of the main Dutch legislation and EU directives aimed at the circularity of materials from waste. (ILO: h, l)

B1-LO3: Make a considered choice for an efficient waste collection method. (ILO: c, d, l).

B1-LO4: Characterise solid waste heaps and streams (e.g. demolition waste/ore). (ILO: a, b, e)

B1-LO5: Match a pre-treatment to meet the requirements for optimum separation and quality of the raw materials. (ILO: a, d)

B1-LO6: Recognise appropriate design steps leading from the physical principle to an operational separation technology. (ILO: a, f, g)

B1-LO7: Make a considered choice for a separation technique or quality inspection technique. (ILO: a, g)

B1-LO8: Design and assess a waste/ore processing line in terms of recovery and quality or added value. (ILO: a, g)

B1-LO9: Implement efficient treatment steps that minimise solid residues and harmful emissions. (ILO: h, l)

B1-LO10: Quantify the non-circular impacts of a treatment option or process. (ILO: g, l)

B1-LO11: Take into account the main legislation concerning special wastes, residues, and emissions. (ILO: h)

B1-LO12: Design efficient treatment and processing steps that safeguard the recovery and quality of raw materials. (ILO: i, j, k)",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18892
Reactive Resources and Wastes,ENVM1301,"This module addresses the processes in different types of reactive resources/wastes and their possible impact on the environment. These vary in relation to the different ways of material treatment, use or storage and disposal and will be evaluated for the different possible impact pathways (water path, gas path). On this basis, the potential of wastes to serve as secondary resources will be developed. Furthermore, this module will teach engineering applications to avoid and minimise environmental impacts during waste and resource storage, treatment, use and disposal, and to remediate and stabilise affected sites. The pertinent legislation will be taught as a continuous topic spanning all themes.

The module content is organized in the following themes:

(1) Environmental impact of reactive resources and wastes

Link to learning objectives of the module:

B2: LO1, LO2 and LO5.

The following topics will be addressed:

Water path: Leachate quality, transport of water through wastes and modelling thereof, leachate and groundwater monitoring, wastewater treatment technologies.

Gas path: Gas production and modelling thereof; transport of gas through wastes and emissions into the atmosphere, gas concentration and emissions monitoring and treatment technologies. Greenhouse gas accounting and clean development mechanisms (CDM).

Source-Pathway-Receptor-concept. Sorption, dispersion, transport. Point-of-compliance-point-of-emission concept. Acceptable emissions.

Regulations on protection of soil, groundwater, surface water and atmosphere.

(2) Waste as a resource

Link to learning objectives of the module:

B2: LO3 and LO5.

The following topics will be addressed:

Valorisation of wastes, recovery of raw materials from wastes. Concepts of waste-to-resource and waste-to-energy.

End-of-waste criteria and procedures.

Resource potential of specific waste streams:

A- Biowastes: Anaerobic digestion

B- Contaminated soils: Soil separation, treatment and remediation technologies (biological, chemical, physical). Re-use of soil.

C- Sediments as a resource, sediments as a waste: Sediment-to-Soil ripening processes. Beneficial use of sediments. Sediment disposal.

D- Mining residues: Properties, hazards, use potential. 'Hidden flows'.

E- Construction and demolition wastes, bottom and other ashes.

 Regulations on re-use and recovery of wastes.

(3) Final sinks

Link to learning objectives of the module:

B2: LO4 and LO5.

The following topics will be addressed:

Waste separation and treatment technologies

Principles of sanitary landfill engineering including sealing, leachate collection and gas extraction systems

Landfill processes and monitoring of emissions and deformation behaviour

Landfill aftercare, end of aftercare and in situ waste stabilisation technologies

Waste incineration

Legacy sites

Regulations concerning operation, monitoring and aftercare of sanitary and liability for legacy landfills.","On completion of this module, the students are able to:

B2-LO1: Explain the fundamental principles that guide contaminant mobilisation and emission from different types of waste.

B2-LO2: Quantify contaminant emissions from waste via the water and gas/atmospheric pathway, analyse their impact on human health and the environment and conceptually design treatment options.

B2-LO3: Apply end-of-waste criteria on potential secondary resources and analyse opportunities for and limitations to recovery, reuse and recycling of contaminated reactive materials.

B2-LO4: Assess options and conceptually design develop stabilization and monitoring strategies for long-term safe use of legacy sites, sanitary landfills and mine tailing sites.

B2-LO5: Understand current European waste-related legislation and apply the management options for reactive wastes as regulated therein.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18893
"Quality, Quantity and Design, Information and Advice",ENVM1401,"Water resources engineers develop engineering interventions to protect society from droughts, flooding and water pollution and minimize the scarcity of potable water. The design of these interventions requires fundamental understanding of processes that influence water availability and water quality.

Unit 1: Quality, quantity and design

In this part of the module students will study water quality and biochemical processes, the natural hydrological cycle, and the man-made urban water cycle (drinking water, wastewater, etc.) through lectures and design exercises of a range of water resources engineering systems (irrigation, reservoirs, polders, drinking water supply, etc.). This module contains three different subthemes: Environmental Water Quality en Biogeochemical Processes, Environmental Water Quantity en Hydrological Processes, and Water resources engineering system design with distinct teaching approaches.

Environmental Water Quality en Biogeochemical Processes

Link to learning objectives of the module:

SS: LO1 and LO4.

This subtheme addresses environmental water quality and biogeochemistry aspects relevant to water resources management. Knowledge about the water quality and reaction processes and matter cycles taught in the ENV programme module will be used. Through cases students learn to describe relevant water quality and biogeochemical processes and make first order quantitative descriptions using hand calculations and open access software.

Specific topics addressed include:

Dissolution and precipitation of minerals; Thermodynamics and kinetics; pH/alkalinity

Water-Air interaction and effects

Sorption reactions: adsorption, ion-exchange

Sorption reactions: surface complexation, pathogen filtration

Redox reactions and microbial growth; kinetics

Mass transport: Advection, dispersion, reaction, mixing

Chemical modelling of water quality

Interpreting and modelling of water quality data from environmental systems

Environmental Water Quantity en Hydrological Processes

Link to learning objectives of the module:

SS: LO2 and LO4.

This subtheme addresses environmental water quantity with a specific focus on hydrological and hydraulic processes, both in natural systems and man-made systems. It builds upon the knowledge on the hydrological cycle and water transport processes introduced in the ENV programme module. Through cases students learn to describe and quantify fluxes and stores in both the natural and the man-made water cycles. Topics that will be discussed are precipitation, evaporation, groundwater, drinking water, wastewater.

Specific topics addressed include:

Hydrological cycle in natural and man-made systems: precipitation, evaporation and vegetation, unsaturated zone, groundwater, human fluxes)

Flow and discharge in rivers and open channels

Flow and discharge in (pressurised) pipe systems and networks

Flow at water control structures (weirs, orifices, pumps)

Water resources engineering system design

Link to learning objectives of the module:

SS: LO3, LO4 and LO5.

Process understanding is required to design water resources engineering systems. In this subtheme the functional dimensioning of several common water resources engineering systems will be discussed. Partly process understanding introduced in the abovementioned subthemes will be applied and partly new process understanding will be taught. Furthermore, first order design and dimensioning models (formulas) will also be part of the material.Specific topics addressed include:

Multi-purpose reservoirs

Irrigation systems

Polder and drainage systems

Urban drainage systems (piped and non-piped)

Rainwater harvesting systems

Piped water distribution systems

Blue green infrastructure

Wastewater treatment systems

Unit 2 + 3: Information and Advice

Water resources engineers advise stakeholders on solution strategies for problems such as water pollution, water scarcity, floods and limited access to safe water. They build advice on extensive problem and data analysis and consider the ethical implications of their advice.

The second part of the steppingstone module Information and Advice will take place in Q3 and consists of a deepening of the data analysis skills from the MUDE specifically for water and of an advisory group project. In this project students will advise a stakeholder on a real-life water resources engineering project based on substantial data analysis. Several projects will be offered on various scales (local to catchment) and systems (urban, rural etc.). Steppingstone 2 will be taught as an intensive course of three weeks full time, including lectures, workshops and tutorial sessions. Information and advice are divided into the lecture- and exercise-base sub-theme ''Data quality and data analysis'' and the project-based sub-theme ''Evidence-based advice''.

Data quality and data analysis

Link to learning objectives of the module:

SS: LO6, LO7 and LO8.

This subtheme focusses on understanding and predicting the spatiotemporal behaviour of water resources engineering systems based on data. Students learn about typical monitoring methods and uncertainties associated and how to use statistical techniques for data analysis and prediction. This subtheme builds upon the faculty wide MUDE.

Specific topics include:

Geographical Information Systems

Raster and polygon data

Spatiotemporal patterns in man-dominated fluxes such as (drinking) water demand

Uncertainty and propagation of errors in hydrological time series

Correlation and persistence in precipitation and other timeseries

Frequency analysis and extreme value analysis of precipitation and discharge

Methods for determining extreme (design) precipitation flood and drought conditions

Time dependent groundwater flow

(groundwater) timeseries analysis

Spatiotemporal patterns in surface and groundwater quality

Leakage detection

Evidence-based advice

Link to learning objectives of the module:

SS: LO6, LO9, LO10 and LO11.

In this advisory group project students will work in a diverse team in terms of personalities, cultures and study background and advise a stakeholder on a real-life water resources engineering project based on substantial data analysis. In addition, they will reflect on the challenges and opportunities that working in a diverse team brings and on their (ethical) professional responsibility as an engineer in such an advisory project. This part builds upon data quality and data analysis and on the experience with teamwork and ethics that students gained in the ENV programme module.

Specific attention will be paid to data availability and how to handle limited data availability. Students will practice systematic procedure to make assumptions and how to assess the effect of these assumptions on their final advice.

Specific topics include:

Problem analysis for water resources engineering students

Data availability and data scarcity

Assumption development and assessment (sensitivity analysis)

Team roles and team behaviour

SCRUM

Professional ethics on the responsible use of data

Presentation skills","SS-LO1: Describe and quantify chemical and biological processes in environmental water systems, including transport by advection, diffusion and dispersion, (bio) chemical reactions and conversions and dissolution and precipitation of minerals. (ILO: 1)

SS-LO2: Quantify stores and (mainly stationary) fluxes in environmental water systems, including precipitation, evaporation, surface water and groundwater flows, drinking water flows, wastewater flows etc. (ILO: 1)

SS-LO3: Analyse water resources engineering problems. (ILO: 2)

SS-LO4: Conceptualize relevant physical, chemical and/or biological processes towards a quantitative description of environmental water systems. (ILO: 6)

SS-LO5: Explain the functioning of typical engineering solutions in the field of water resources management, water treatment and urban water infrastructure. (ILO: 4)

SS-LO6: Identify and analyze complex water resources problems that may threaten the environment and human wellbeing. (ILO: 2, 4, 5)

SS-L07: Analyse and asses the quality of observations typical in water resources engineering. (ILO: 7)

SS-L08: Analyse temporal and spatial patterns in data in water resources engineering, including extreme values to gain system understanding. (ILO: 1, 7)

SS-LO9: Advise on solution and/or monitoring strategies for problems in the field of water resources engineering supported with quantitative data analysis considering (inter)national goals, norms and regulations for water resources management. (ILO: 3, 4, 8)

SS-LO10: Assess data needs and required quality based on requirements set by stakeholders involved in the problem and solution strategies. (ILO: 5, 8)

SS-LO11: Work effectively in a team of diverse talents, skills, characters, and cultures to solve Water Resources Engineering problems. (ILO: 10, 11, 12)",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18882
Water Quality and Principles of Environmental Engineering,ENVM1500,"To define interventions for any future water resources challenge in a systematic manner, water technology students need to be able to apply the mass balance concept and calculate the time-based performance of a system unit in terms of biological and chemical reaction rates. By starting with physicochemical processes and then expanding to biochemical processes the complexity is gradually increased while using the same methodological framework.

Additionally, these calculations can be combined with knowledge on pollutant removal and degradation processes/factors to analyse and adapt the operational conditions of a lab experiment with the aim to optimise process performance for both efficient conversions and/or pollutant removal. The ethical aspects of working as an engineer in the field of human health will be discussed in a workshop.

Principles of physicochemical and biological processes

Link to learning objectives of the module:

A1: LO1, LO2 and LO3.

Central topic of the module sub-theme is learning to apply the principles of physicochemical and biochemical processes, reactor technologies and pollutant removal/degradation processes with the aim of using this know-how for designing and evaluating a treatment unit in module B1. It provides an environmental process engineering perspective and addresses the fundamentals on:

Calculating equilibria of (bio-)chemical conversion processes in natural or engineered treatment units.

Assessing biological and chemical reaction kinetics in dependence to applied reactor conditions and operational process characteristics using mathematical models.

Assessing removal efficiency of pollutants by physicochemical and biochemical processes, by exploring, understanding and applying underlying concepts like mass balances, (bio-)chemical thermodynamics, mass transfer phenomena, dissolution, precipitation, degradation kinetics.

Biological growth models (Monod kinetics), redox processes and reaction stoichiometry.

Reactor technologies.

Factors that impact removal, degradation or conversion of pollutants (e.g. chemicals of concern) that pose a risk to human health.

Biological or chemical reactor performance analysis

Link to learning objectives of the module:

A1: LO1, LO2, LO3, LO4 and LO5.

Central topic of the module sub-theme is the execution of a biochemical lab experiment and mathematical modelling and performance analysis of this system. Through the lab experiment students can use know-how from module sub theme I to describe the chemical and/or biological conversion processes and biological growth rates and evaluate the removal efficiencies of contaminants (chemicals and pathogens that pose a risk to human health) in a single process unit. The following topics will be addressed:

Using mathematical modelling in different software environments (e.g., phreeqC, matlab, python, aquasim) the experimental results can be described with chemical and biological conversion/growth models and evaluated for their potential to protect human health.

Presenting, proposing and reporting about improved operational conditions for performance enhancement.","A1-LO1: Evaluate how physicochemical and biological processes in natural and engineered environments work and how they could be used to remove, degrade or recover pollutants (chemicals, pathogens, antibiotic resistance) that pose a risk to environmental and human health. (ILO: c, d)

A1-LO2: Assess mass balances and (geo)chemical speciation reactions to calculate the equilibrium of (bio-)chemical conversion processes in natural or engineered treatment sub theme (batch/CSTR). (ILO: a)

A1-LO3: Assess biological and chemical reaction kinetics in dependence to applied reactor conditions and operational process characteristics (Batch, fed-batch, porous media filters, CSTR, FBR/MBBR, PFR) using mathematical models. (ILO: a)

A1-LO4: Execute a small lab experiment focused on a biological and/or chemical conversion technique, including a model-based prediction and verification of the results. (ILO: b, g)

A1-LO5: Propose an improved approach for an environmental challenge based on laboratory results, external datasets, modelling output or scientific literature and convey one's advice through a presentation and report. (ILO: b, g)",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18883
Design and Modeling of Urban Water Infrastructure Systems,ENVM1501,"Urban water infrastructure systems sustain human life in towns and villages by supplying drinking water in sufficient quantity and quality, collecting and conveying wastewater and stormwater to a recipient whilst protecting human health, maintaining acceptable level of flood risk and protecting the natural environment. Modern urban water infrastructure is based increasingly on the concept of integrated water management ensuring that natural and other resources are (re)used in an efficient and sustainable manner.

This module deals with concepts, systems, solutions, models, data and knowledge required for the effective design (and redesign / rehabilitation) of urban water infrastructure systems and their monitoring. A range of related issues are addressed covering water quantity, quality and other aspects. Both conventional, grid type systems (based on drinking water and sewer pipe networks) and latest off-grid type systems and solutions (such as sustainable drainage and other solutions) are considered including integrated water systems and solutions.

Sub-theme ""Design of urban water infrastructure systems""

(link to learning objectives LO1, LO2 and LO3)

This subtheme focusses on developing students understanding of concepts, system configurations, solutions, models, data and knowledge required for the effective design and redesign / rehabilitation of urban water infrastructure systems. Both drinking water and urban drainage systems are covered, including related modelling required for design. The focus of this subtheme is on water quantity related aspects of design.

Sub-theme ""Water quality processes in urban water infrastructure systems""

(link to learning objectives L03, LO4 and LO5).

This subtheme focusses on developing a students understanding of water quality processes in urban water infrastructure systems and related monitoring. Water quality covers chemical parameters, microbiological parameters, physical parameters and the interaction between these parameters. Both drinking water and urban drainage systems are covered, including related water quality modelling.","LO1: Design new and re-design existing urban water infrastructure systems.

LO2: Design, dimension and analyse individual components of urban water infrastructure systems.

LO3: Understand and apply relevant simulation and other models to analyse and plan new and suggest improvements to existing urban water infrastructure systems and their components.

LO4: Design monitoring setup/networks for water quantity and water quality parameters taking specific challenges and dynamics of the range of urban water infrastructures into account.

LO5: Study and understand water quality processes in urban water infrastructure systems using models and monitoring data and identify knowledge gaps in scientific literature on water quality processes.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18884
River Basin Hydrology and Water Management,ENVM1502,"Floods and droughts are among the most concerning water system threats and may be aggravated by land use and climate change. Water resources engineers use process understanding, mathematical models and observation technology including remote sensing to study floods, droughts and the effects of interventions.

In this module students will learn about hydrological processes that occur at different scales in river basins and how they are affected by land use change, climate change, and/or human interventions. Focus lies on floods, droughts and the role of vegetation. Students will learn about the physics of hydrological processes and how to observe and model them and to evaluate the effects of management strategies on the river basins taking ethical considerations into account.

Processes in river basin hydrology and water management

Link to learning objectives of the module:

A3: LO1.

In this first topic students will focus on understanding the physical processes at different scales through lectures and discussing recent journal papers. The specific topics include:

- Macroscale Laws, structure and organization in hydrological processes.

- Role of Vegetation en land management in the Water Cycle

- Flood processes en management

- Cold region processes

- Drought processes en management

Remote sensing data and data assimilation in river basin hydrology and water management

Link to learning objectives of the module:

A3: LO3.

In this second topic students will learn, via tutorials and assignments, about observation techniques, data handling and how to use them in modelling.

Remote sensing data types, sources and properties

Accessing, handling and processing data

Automatizing data access

Learning from data: basic concepts of data assimilation

Models in river basin hydrology and water management

Link to learning objectives of the module:

A3: LO2.

The third topic aims to conceptualize the hydrological processes such that the effects of climate and land use change can be quantitatively evaluated. Typical hydrological and river basins model concepts will be explained and how to calibrate and test them.

Model types and applications in Hydrology

Flow paths

Model parameter calibration and testing

Sources of uncertainty and the role of inverse, ill-posed problems

Model evaluation and selection techniques","(a) Describe and conceptualize the role of different components of the terrestrial water cycle for the distribution and movement of water through the landscape with particular emphasis on the role of vegetation and the critical zone in hydrological systems towards quantitative descriptions (Unit 1).

(b) Select and apply remote sensing technologies for observation and monitoring of hydrological processes (Unit 2).

(c) Develop mathematical models to explain water processes in order to predict floods and droughts and the effectiveness of interventions (Unit 3).",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18885
Water Treatment Technologies,ENVM1600,"Water treatment is needed to provide humans with water of sufficient quality to use it safely for purposes ranging from drinking to industry and to avoid pollution of the living environment.

In module Water Treatment Technologies one will learn how to develop, research and design water treatment plants for the treatment of groundwater, surface water, municipal sewage and industrial water. Specific attention will be given to health impact, resource recovery and closing the urban water cycle. The module will cover separation, biological and chemical conversion technologies, including, membrane filtration, advanced oxidation, aerobic granular sludge and anaerobic treatment. In addition to project work and lectures, the module offers field visits to water treatment plants, experimental work in the laboratory and modelling exercises (Biowin, WAVE).

The technologies covered in this module, include:

Anaerobic digestion: slurry digestion and high-rate anaerobic treatment

Aerobic sludge: flocculent and attached (granules) growth

Biofiltration

Pressure-driven membranes (reverse osmosis, nanofiltration, ultrafiltration)

(Bio) sand filtration

Ozone, chlorine, H2O2 and UV

Electro(photo)chemical oxidation

Activated carbon, GAC/ PAC/PACAS

Ion exchange

Resource recovery from sludge-based systems

The course is organised with:

Project (one can choose the ""designer"" or ""researcher"" track), assessed by group report, presentations and individual oral exam

Lectures on water treatment technologies, assessed with written exam

Laboratory, model, excursion and in-class assignments (formative assessments)","Identify process conditions for drinking, industrial and sewage water treatment technologies based on the mechanistic understanding of coupled biological, chemical and physical processes.

Assess the applicability of a water technology based on their effectiveness for target compounds, operational criteria, sustainability, and local conditions/ regulations.

Design a water treatment plant including dimensions, hydraulic line, process scheme and control, considering budget, health impact, resource recovery and closing the urban water cycle.

Research a water treatment technology, including hypothesis testing, experimental design, modeling and evaluating scientific literature.

Evaluate project and research outcomes with the project team, clients and the scientific audience using communication and management tools.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18886
"Operation, Control, Management and Adoption of Urban Water Infrastructure Systems",ENVM1601,"Urban water infrastructures must sustain urban living by supplying reliable drinking water, minimising contact risk with pathogens, maintaining urban flood risk at an acceptable level, and protecting the aquatic environment. On top of this, the infrastructures must contribute to circularity.

This module deals with the operation, control, management and adaptation of urban water infrastructure systems, comprising both networks and off-grid systems.

All the B-modules in the Water Resources Engineering track will have a workshop on ethical responsibility of engineers.

Operations and control of urban water systems

Link to learning objectives module B2: LO1, LO2 and LO7.

Lectures about this topic will focus on operation of drainage systems, control of urban water infrastructures and data processing:

Conventional operation of both drinking water and urban drainage systems

Automated operation via real time control of urban water infrastructures.

Cybersecurity of urban water infrastructure

Data collection, storage, validation and mining for operation and maintenance of urban water infrastructures. Data sources are (internal) monitoring networks, call data, risks databases, insurance data and social media (especially for urban flooding). Sensors and sensor network design. Data validation.

Asset management of urban water infrastructure systems

Link to learning objectives module B2: LO3, LO4 and LO7.

Lectures about this topic will focus on asset management of urban water infrastructure systems. Topics that will be covered are:

Overview, inspection, deterioration, interventions and other related topics.

Introducing AM concepts, highlight process steps, AM management methods, i.e., performance appraisal, financial accounting, portfolio modelling and management, and (technical) requirements and data needs per process step.

Inspecting techniques for urban water infrastructures, related to the field of application/related failure mechanisms, both conventional and more advanced

Deterioration modelling concepts ranging from deterministic models (impact of uneven soil subsidence on failure of rigid pipes) to cohort survival statistical models.

Different methods for prediction of asset deterioration via pipe condition grades, burst rate, blockage and collapse rate will be shown with examples.

Different types of interventions (from regular maintenance to rehabilitation and replacement).

Deterioration modelling.

Adaptation of urban water infrastructures

Link to learning objectives module B2: LO5, LO6 and LO7.

Lectures about this topic will focus on adaption to climate change, water demand management and urban pollution. Interaction with other infrastructure systems and related governance issues will also be addressed:

Adaptation to climate change / uncertain future including urban flood risk management: Dealing with excess of water; basic definitions and concepts, flood risk assessment, different interventions and management options, urban pollution management, thermal energy recovery from piped systems, nature-based solutions

Water demand management

Emerging water quality issues and urban pollution management. Water quality impacts of emissions from urban water infrastructures: CSO, SSO, WWTP effluent. Entire range of impacts from acute toxic to long term build up. Including new topics: Emerging contaminants (include Coronavirus), microplastics

Public health aspects related to urban water infrastructures, focussing on water supply (drinking water + alternatives) and wastewater and stormwater management (reducing contact risk with pathogens).

Urban pollution management.

Interactions with other infrastructure systems and related governance issues

Physical interactions between water and wastewater, gas, road, telecom etc infrastructure; Material interactions: water-energy-food nexus","B2-LO1: Design, evaluate and optimise control strategies for urban water infrastructures. (ILO: c)

B2-LO2: Develop data driven management of urban water infrastructure systems using data mining and modelling technique. (ILO: e, f)

B2-LO3: Apply asset management to urban water infrastructures. (ILO: c)

B2-LO4: Study deterioration processes in urban water infrastructures using models and monitoring data and identify knowledge gaps in scientific literature on deterioration processes. (ILO: d, e, f, g, h)

B2-LO5: Incorporate climate change adaptation and circularity in the design of urban water infrastructures. (ILO: c)

B2-LO6: Assess the impact of urban development/urban transition processes on urban water infrastructure. (ILO: b, h)

B2-LO7: Conduct a design and a research project in a team and communicate results with relevant audience. (ILO: i, j, k)",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18887
Groundwater modelling,ENVM1602-2,"This course is a part of ENVM1602-24 Regional Hydrology, but it can be followed as a separate elective. Please contact the instructor in case you are interested in taking this course as a separate elective.

Students learn how to model groundwater systems. Different modeling approaches are applied in exercises to assess the environmental impact of man-made changes in the geohydrological system.

Topics include:

The analytic element method and the finite difference method (including MODFLOW).

Comparison of grid-based methods and analytical methods.

Design of well fields including capture zones and wellhead protection

Pumping test analysis

Travel times

Time series analysis of groundwater time series.

Prediction of groundwater heads in wet and dry periods.","B3-LO2: Quantify the water fluxes in selected systems, including non-steady states and interactions between fluxes.

B3-LO4: Develop mathematical models to explain groundwater flow and heads to predict environmental impact.",Master,Civil Engineering and Geosciences,https://studiegids.tudelft.nl/courses/study-guide/educations/18898
