course_name,course_code,level,faculty,url,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Effective Field Theory,4403EFTH3Y,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physics of Machine Learning,4403PHML3Y,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Field Theory,4403QFTH6Y,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Optics,4403QOPT6,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Theory,4403QUTH6,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statiscal Physics,4403STPHAY,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theory of Condensed Matter,4403TCM06,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theory of General Relativity,4403TGR64,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Growth,4413BYGR5,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20247,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Circular Economy,4413CIRC5,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20252,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Earth System Science and Analysis,4413EASYS,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Environmental Input-Output Analysis,4413EIOAT,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20251,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
GIS: Spatial analysis in urban regions,4413GIS20,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20246,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Industrial Ecology Capita Selecta Module,4413IECS2Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial Ecology Capita Selecta Module,4413IECS3Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial Ecology Capita Selecta Module,4413IECS4Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial Ecology Capita Selecta Module,4413IECS5Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial Ecology Capita Selecta Module,4413IECS6Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integrated Project: Industrial and Urban Systems,4413INTPR,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20242,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1
LCA Practice en Reporting,4413LCA10,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20249,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Methods: Analysing Physical Processes,4413MAPPT,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20237,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Methods: Analysing Social Processes,4413MASPL,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Material Flow Analysis,4413MFA10,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21296,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
System Design for Industrial Ecology,4413SDIEL,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Society's Metabolism,4413SOCMB,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20238,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Sustainability Analysis in Python,4413SUAP6,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability Analysis in Python,4413SUSAP,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability Challenge,4413SUSCH,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thesis Preparation Course,4413THPC1,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thesis Preparation Course,4413THPC2,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/21290,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transitions, Innovation en Governance",4413TRIGL,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20241,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
