Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's
FALSE,4413IECS5Y,Industrial Ecology Capita Selecta Module,https://studiegids.tudelft.nl/courses/study-guide/educations/21294,No,MSc,"Technology, Policy and Management",[]
FALSE,4413IECS6Y,Industrial Ecology Capita Selecta Module,https://studiegids.tudelft.nl/courses/study-guide/educations/21295,No,MSc,"Technology, Policy and Management",[]
TRUE,4413INTPR,Integrated Project: Industrial and Urban Systems,https://studiegids.tudelft.nl/courses/study-guide/educations/20242,Yes,MSc,"Technology, Policy and Management","[6, 7, 9, 11, 12, 13, 17]"
TRUE,4413LCA10,LCA Practice en Reporting,https://studiegids.tudelft.nl/courses/study-guide/educations/20249,Yes,MSc,"Technology, Policy and Management","[9, 12, 13]"
TRUE,4413MAPPT,Methods: Analysing Physical Processes,https://studiegids.tudelft.nl/courses/study-guide/educations/20237,Yes,MSc,"Technology, Policy and Management","[9, 12]"
FALSE,4413MASPL,Methods: Analysing Social Processes,https://studiegids.tudelft.nl/courses/study-guide/educations/20239,No,MSc,"Technology, Policy and Management",[]
TRUE,4413MFA10,Material Flow Analysis,https://studiegids.tudelft.nl/courses/study-guide/educations/21296,Yes,MSc,"Technology, Policy and Management","[9, 11, 12, 13]"
FALSE,4413SDIEL,System Design for Industrial Ecology,https://studiegids.tudelft.nl/courses/study-guide/educations/20240,No,MSc,"Technology, Policy and Management",[]
TRUE,4413SOCMB,Society's Metabolism,https://studiegids.tudelft.nl/courses/study-guide/educations/20238,Yes,MSc,"Technology, Policy and Management","[2, 6, 12, 13]"
FALSE,4413SUAP6,Sustainability Analysis in Python,https://studiegids.tudelft.nl/courses/study-guide/educations/20254,No,MSc,"Technology, Policy and Management",[]
FALSE,4413SUSAP,Sustainability Analysis in Python,https://studiegids.tudelft.nl/courses/study-guide/educations/20255,No,MSc,"Technology, Policy and Management",[]
FALSE,4413SUSCH,Sustainability Challenge,https://studiegids.tudelft.nl/courses/study-guide/educations/20243,No,MSc,"Technology, Policy and Management",[]
TRUE,4413THPC1,Thesis Preparation Course,https://studiegids.tudelft.nl/courses/study-guide/educations/21289,Yes,MSc,"Technology, Policy and Management",[4]
TRUE,4413THPC2,Thesis Preparation Course,https://studiegids.tudelft.nl/courses/study-guide/educations/21290,Yes,MSc,"Technology, Policy and Management",[4]
TRUE,4413TRIGL,"Transitions, Innovation en Governance",https://studiegids.tudelft.nl/courses/study-guide/educations/20241,Yes,MSc,"Technology, Policy and Management","[7, 9, 12, 13, 16, 17]"
TRUE,4413TRP30Y,Thesis Research Project,https://studiegids.tudelft.nl/courses/study-guide/educations/20245,Yes,MSc,"Technology, Policy and Management","[12, 13]"
FALSE,4603BSENI,Entrepreneurship and Innovation,https://studiegids.tudelft.nl/courses/study-guide/educations/17534,No,MSc,Applied Sciences,[]
FALSE,4603BSFT3,Financing Technology Ventures,https://studiegids.tudelft.nl/courses/study-guide/educations/3785,No,MSc,Applied Sciences,[]
FALSE,4603BSLMP,Leading and Managing People,https://studiegids.tudelft.nl/courses/study-guide/educations/17535,No,MSc,Applied Sciences,[]
FALSE,4603BSMA4,Marketing Analytics,https://studiegids.tudelft.nl/courses/study-guide/educations/17536,No,MSc,Applied Sciences,[]
FALSE,4603BSMSX,Management Science,https://studiegids.tudelft.nl/courses/study-guide/educations/17537,No,MSc,Applied Sciences,[]
FALSE,4609COMNW,Complex Networks,https://studiegids.tudelft.nl/courses/study-guide/educations/17365,No,MSc,External institution,[]
FALSE,5.100.017,Geological & Engineering Basics of Final Disposal,https://studiegids.tudelft.nl/courses/study-guide/educations/22186,No,MSc,External institution,[]
FALSE,5.314.570,Geophysical Logging and Log Interpretation,https://studiegids.tudelft.nl/courses/study-guide/educations/22170,No,MSc,External institution,[]
FALSE,5.318.482,Hydrogeophysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22178,No,MSc,External institution,[]
FALSE,5.326.003,Rockphysics Laboratory,https://studiegids.tudelft.nl/courses/study-guide/educations/22169,No,MSc,External institution,[]
FALSE,5.326.004,Scientific Machine Learning,https://studiegids.tudelft.nl/courses/study-guide/educations/22182,No,MSc,External institution,[]
FALSE,5.329.469,Engineering geophysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22179,No,MSc,External institution,[]
FALSE,5.330.255,Seismic Interpretation and Well Integration,https://studiegids.tudelft.nl/courses/study-guide/educations/22196,No,MSc,External institution,[]
FALSE,5.331.439,Data analysis in Geoscience,https://studiegids.tudelft.nl/courses/study-guide/educations/22197,No,MSc,External institution,[]
FALSE,5.331.582.01,Remote Sensing of Geohazards,https://studiegids.tudelft.nl/courses/study-guide/educations/22187,No,MSc,External institution,[]
FALSE,5.331.582.02,Remote Sensing - Advanced Methods,https://studiegids.tudelft.nl/courses/study-guide/educations/22188,No,MSc,External institution,[]
FALSE,5.331.637.01,Rockphysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22168,No,MSc,External institution,[]
FALSE,5.332.383,Underground Excavation,https://studiegids.tudelft.nl/courses/study-guide/educations/22198,No,MSc,External institution,[]
FALSE,5.342.487,Computational Continuum Mechanics,https://studiegids.tudelft.nl/courses/study-guide/educations/22180,No,MSc,External institution,[]
FALSE,5.345.471,Final Disposal and Projects,https://studiegids.tudelft.nl/courses/study-guide/educations/22185,No,MSc,External institution,[]
FALSE,5.349.932,Neotectonics and Earthquake Geology,https://studiegids.tudelft.nl/courses/study-guide/educations/22189,No,MSc,External institution,[]
FALSE,5.350.132,Fieldwork: Geophysical Logging and Log Interpretation,https://studiegids.tudelft.nl/courses/study-guide/educations/22175,No,MSc,External institution,[]
FALSE,5.412.000,Research Module in Applied Geophysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22181,No,MSc,External institution,[]
FALSE,5.412.003,Modeling and Inversion for multi-method Geophysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22177,No,MSc,External institution,[]
FALSE,5000MFS23,5000MFS23 Bootcamp,https://studiegids.tudelft.nl/courses/study-guide/educations/23429,No,BSc,External institution,[]
FALSE,5000MFS24,Frugal Innovation in Practice,https://studiegids.tudelft.nl/courses/study-guide/educations/23430,No,BSc,External institution,[]
FALSE,5000MFS25,Capturing Frugal Innovation,https://studiegids.tudelft.nl/courses/study-guide/educations/23431,No,BSc,External institution,[]
FALSE,651-4079-00L,Reflection Seismology Processing,https://studiegids.tudelft.nl/courses/study-guide/educations/22155,No,MSc,External institution,[]
FALSE,651-4087-01L,Case Studies in Exploration and Environmental Geophysics,https://studiegids.tudelft.nl/courses/study-guide/educations/22161,No,MSc,External institution,[]
FALSE,651-4094-00L,Numerical Modelling for Applied Geophyscics,https://studiegids.tudelft.nl/courses/study-guide/educations/22158,No,MSc,External institution,[]
FALSE,651-4096-00L,Inverse Theory I: Basics,https://studiegids.tudelft.nl/courses/study-guide/educations/22159,No,MSc,External institution,[]
FALSE,651-4096-02L,Inverse Theory II: Applications,https://studiegids.tudelft.nl/courses/study-guide/educations/22162,No,MSc,External institution,[]
FALSE,651-4104-00L,Geophysical Field Work and Processing: Methods,https://studiegids.tudelft.nl/courses/study-guide/educations/22156,No,MSc,External institution,[]
FALSE,651-4106-03L,Geophysical Field Work & Processing: Preparation and Field Work,https://studiegids.tudelft.nl/courses/study-guide/educations/22157,No,MSc,External institution,[]
FALSE,651-4109-00L,Geothermal Energy,https://studiegids.tudelft.nl/courses/study-guide/educations/22163,No,MSc,External institution,[]
FALSE,651-4110-00L,Computational Methods in Seismic Data Analysis and Imaging,https://studiegids.tudelft.nl/courses/study-guide/educations/22164,No,MSc,External institution,[]
FALSE,651-4240-00L,Geofluids,https://studiegids.tudelft.nl/courses/study-guide/educations/22165,No,MSc,External institution,[]
FALSE,701-0106-00L,Mathematics V: Applied Deepening of Mathematics I-III,https://studiegids.tudelft.nl/courses/study-guide/educations/22166,No,MSc,External institution,[]
FALSE,8.118.471,Economics of Technological Diffusion,https://studiegids.tudelft.nl/courses/study-guide/educations/22201,No,MSc,External institution,[]
FALSE,8910PRD01,Instability and (In)securities: A case study of crisis,https://studiegids.tudelft.nl/courses/study-guide/educations/23426,No,BSc,External institution,[]
FALSE,8910PRD02,Disaster Studies,https://studiegids.tudelft.nl/courses/study-guide/educations/23427,No,BSc,External institution,[]
TRUE,8910PRD03,Climate Change as a Political Challenge: Can We Prevent Disaster?,https://studiegids.tudelft.nl/courses/study-guide/educations/23428,Yes,BSc,External institution,[13]
